,strategy,benchmark
2023-07-14 00:00:00+00:00,559622.829943761,193397.76943967913
2023-07-17 00:00:00+00:00,563243.827824858,194069.27470041273
2023-07-18 00:00:00+00:00,567279.7157166975,195511.37608671671
2023-07-19 00:00:00+00:00,571527.0415415062,195946.1241317959
2023-07-20 00:00:00+00:00,549488.0383416632,194646.12070922714
2023-07-21 00:00:00+00:00,539610.04995314,194646.12070922714
2023-07-24 00:00:00+00:00,537547.2748390435,195515.67134231373
2023-07-25 00:00:00+00:00,544069.4306844377,196049.40116637325
2023-07-26 00:00:00+00:00,544298.462379731,196079.54976994474
2023-07-27 00:00:00+00:00,554285.094001875,194779.546347376
2023-07-28 00:00:00+00:00,571641.039272089,196686.51711086655
2023-07-31 00:00:00+00:00,569515.1944945407,197060.99522026684
2023-08-01 00:00:00+00:00,568182.3770222556,196497.11679263582
2023-08-02 00:00:00+00:00,549128.4239118167,193763.6570378854
2023-08-03 00:00:00+00:00,550473.7695536384,193208.39639291252
2023-08-04 00:00:00+00:00,564955.0561581836,192334.55050422892
2023-08-07 00:00:00+00:00,575171.5294939533,194013.34092752702
2023-08-08 00:00:00+00:00,566546.3836067354,193169.63000668288
2023-08-09 00:00:00+00:00,550329.7830474378,191878.25800250433
2023-08-10 00:00:00+00:00,550909.1485875747,191947.10481364522
2023-08-11 00:00:00+00:00,541759.7754156934,191835.1827249456
2023-08-14 00:00:00+00:00,560227.2140295891,192894.1336762629
2023-08-15 00:00:00+00:00,554752.0239232915,190647.14229827264
2023-08-16 00:00:00+00:00,544774.894851459,189248.1434609915
2023-08-17 00:00:00+00:00,537227.7021720457,187806.0829818837
2023-08-18 00:00:00+00:00,534939.554013323,187896.48788540202
2023-08-21 00:00:00+00:00,556419.4883939091,189118.99944270763
2023-08-22 00:00:00+00:00,549110.9565847325,188606.7595323653
2023-08-23 00:00:00+00:00,560917.5874729453,190707.39859821947
2023-08-24 00:00:00+00:00,551380.0088780308,188064.37101845146
2023-08-25 00:00:00+00:00,547858.5238817025,189390.18688179852
2023-08-28 00:00:00+00:00,553986.9743943319,190591.16761819078
2023-08-29 00:00:00+00:00,569076.0234694617,193346.1172866584
2023-08-30 00:00:00+00:00,569349.8347650078,194142.48494581092
2023-08-31 00:00:00+00:00,574258.6619148034,193858.3981041969
2023-09-01 00:00:00+00:00,571373.94249156,194219.99044680613
2023-09-05 00:00:00+00:00,572761.9051465265,193380.56114582694
2023-09-06 00:00:00+00:00,563654.7342369639,192080.57135899024
2023-09-07 00:00:00+00:00,563538.8014817617,191490.83958338475
2023-09-08 00:00:00+00:00,560927.4374279857,191779.26258779195
2023-09-11 00:00:00+00:00,572281.2057519715,193040.5132598631
2023-09-12 00:00:00+00:00,566268.1397339827,191981.5623085458
2023-09-13 00:00:00+00:00,575601.4796106567,192205.4201216771
2023-09-14 00:00:00+00:00,577768.8269122014,193862.69335979392
2023-09-15 00:00:00+00:00,563905.0652849992,191526.98790906003
2023-09-18 00:00:00+00:00,564765.4775906418,191639.29179825715
2023-09-19 00:00:00+00:00,559991.2247751855,191241.85111607786
2023-09-20 00:00:00+00:00,548024.392841477,189483.71436795723
2023-09-21 00:00:00+00:00,532328.6897928412,186351.85942978368
2023-09-22 00:00:00+00:00,536649.5778646702,185932.8333837628
2023-09-25 00:00:00+00:00,543245.7819999593,186714.69262400983
2023-09-26 00:00:00+00:00,533469.5418378189,183971.64694962537
2023-09-27 00:00:00+00:00,535115.1867483393,184045.06173100436
2023-09-28 00:00:00+00:00,541523.5101684709,185112.05776423356
2023-09-29 00:00:00+00:00,542587.5639566018,184662.81493598092
2023-10-02 00:00:00+00:00,555291.6325673424,184589.3728831378
2023-10-03 00:00:00+00:00,539810.1978058163,182118.41460615984
2023-10-04 00:00:00+00:00,548042.8244246421,183444.63954146852
2023-10-05 00:00:00+00:00,548727.5334713833,183375.49274422243
2023-10-06 00:00:00+00:00,562444.1252951983,185552.669174096
2023-10-09 00:00:00+00:00,562638.9991213817,186740.61415064457
2023-10-10 00:00:00+00:00,566857.2859821079,187712.5827671891
2023-10-11 00:00:00+00:00,577943.617558473,188481.50169771683
2023-10-12 00:00:00+00:00,574219.1235782414,187332.43219325432
2023-10-13 00:00:00+00:00,560295.9365075394,186399.37995599204
2023-10-16 00:00:00+00:00,569095.0058286509,188360.55275439742
2023-10-17 00:00:00+00:00,562612.1651901976,188351.92133600722
2023-10-18 00:00:00+00:00,548776.9611582395,185842.10122267518
2023-10-19 00:00:00+00:00,545661.6857486456,184209.22230920303
2023-10-20 00:00:00+00:00,537326.7655424809,181945.64988103506
2023-10-23 00:00:00+00:00,548380.779359212,181630.2963058211
2023-10-24 00:00:00+00:00,551599.1512801306,182999.67833308084
2023-10-25 00:00:00+00:00,528239.1366214169,180373.2181677585
2023-10-26 00:00:00+00:00,516644.244066005,178213.3318461295
2023-10-27 00:00:00+00:00,520064.1337501799,177405.53744351567
2023-10-30 00:00:00+00:00,528444.6762947694,179526.54829305861
2023-10-31 00:00:00+00:00,530613.2428799014,180654.05970514365
2023-11-01 00:00:00+00:00,537067.3101527003,182580.63865132793
2023-11-02 00:00:00+00:00,538701.0946540699,186079.71748944902
2023-11-03 00:00:00+00:00,538213.3106644138,187777.39340164198
2023-11-06 00:00:00+00:00,540000.7222834128,188209.35975738216
2023-11-07 00:00:00+00:00,544882.1797218819,188744.99858392923
2023-11-08 00:00:00+00:00,547505.7005070532,188883.23763549316
2023-11-09 00:00:00+00:00,550197.9683807634,187410.19677315856
2023-11-10 00:00:00+00:00,561107.3930361534,190334.70676971826
2023-11-13 00:00:00+00:00,562933.0612295975,190153.2697190071
2023-11-14 00:00:00+00:00,570385.0943719618,193842.3761190334
2023-11-15 00:00:00+00:00,564690.9720397508,194252.74347519994
2023-11-16 00:00:00+00:00,568286.1465112311,194490.33247050966
2023-11-17 00:00:00+00:00,566831.2070293556,194732.2439928805
2023-11-20 00:00:00+00:00,573448.7986443789,196231.23365331398
2023-11-21 00:00:00+00:00,571567.9193002261,195803.54891743878
2023-11-22 00:00:00+00:00,570916.5759835852,196559.51390251514
2023-11-24 00:00:00+00:00,566685.275938776,196680.5037530307
2023-11-27 00:00:00+00:00,565223.0830885873,196326.2610699986
2023-11-28 00:00:00+00:00,564954.1959564429,196520.66570189316
2023-11-29 00:00:00+00:00,553673.9098460958,196382.39937886514
2023-11-30 00:00:00+00:00,547227.7199096923,197155.66810791809
2023-12-01 00:00:00+00:00,546218.3421851905,198322.00044916102
2023-12-04 00:00:00+00:00,537241.8637750568,197280.9123068345
2023-12-05 00:00:00+00:00,541227.0327592563,197242.06410621252
2023-12-06 00:00:00+00:00,538892.964792445,196447.21001331802
2023-12-07 00:00:00+00:00,542424.0801291207,197946.1996737515
2023-12-08 00:00:00+00:00,545180.3132604115,198797.1920755125
2023-12-11 00:00:00+00:00,539853.9255716299,199570.40626163725
2023-12-12 00:00:00+00:00,543984.0014055491,200481.9004065221
2023-12-13 00:00:00+00:00,546095.0748085793,203246.5587162122
2023-12-14 00:00:00+00:00,536231.0002694521,203898.89213767782
2023-12-15 00:00:00+00:00,538460.1161045359,203563.139507311
2023-12-18 00:00:00+00:00,543138.6317191385,204708.21374228166
2023-12-19 00:00:00+00:00,545717.8659494399,205953.00608576357
2023-12-20 00:00:00+00:00,537895.4189961033,203099.07463831562
2023-12-21 00:00:00+00:00,545039.5583764187,205024.82180484457
2023-12-22 00:00:00+00:00,544592.7819627582,205436.86635605377
